"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_LOS_KPI_APPLICATION","WI_NAME","false","string(100)","PK","PK — Driving: UNION FCT_CLOS_APPLICATION_DAILY + FCT_RLOS_APPLICATION_DAILY. Mã hồ sơ tín dụng CLOS hoặc RLOS","UNION FCT_CLOS_APPLICATION_DAILY.WI_NAME, FCT_RLOS_APPLICATION_DAILY.WI_NAME WHERE EXISTS bản ghi lịch sử (NG_SB_CLOS/RLOS_ENTRY_EXIT) thỏa DECISION IN ('Submit','Send To PostSanction','Submit To DisbursementMaker','Send To HOSupport','Reject') OR WORKSTEP IN ('CancelRevoke','CancelPermanent')","join","FCT_CLOS_APPLICATION_DAILY","WI_NAME","Grain 1 dòng/hồ sơ (không theo DAYID, khác bảng cũ FCT_PDTD_KPI_APPLICATION). review 2026-09-18: chỉ nhận hồ sơ đã đến quyết định cuối/đã hủy — hồ sơ đang xử lý dở dang không xuất hiện trong bảng này"
"FCT_LOS_KPI_APPLICATION","DATASOURCE","false","string(10)","PK","RLOS hoặc CLOS — quyết định công thức TAT/POINT/nhóm phân loại áp dụng","'CLOS' | 'RLOS' theo bảng nguồn UNION","computed","FCT_CLOS_APPLICATION_DAILY","DATASOURCE",""
"FCT_LOS_KPI_APPLICATION","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION hoặc DIM_RLOS_APPLICATION tùy DATASOURCE","FCT_CLOS_APPLICATION_DAILY.APPLICATION_SK / FCT_RLOS_APPLICATION_DAILY.APPLICATION_SK","direct","FCT_CLOS_APPLICATION_DAILY","APPLICATION_SK","Mặc định -1"
"FCT_LOS_KPI_APPLICATION","PRODUCT_SK","false","number","","Khóa tới DIM_CLOS_PRODUCT hoặc DIM_RLOS_PRODUCT tùy DATASOURCE","FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK / FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK","direct","FCT_CLOS_APPLICATION_DAILY","PRODUCT_SK","Mặc định -1"
"FCT_LOS_KPI_APPLICATION","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","FCT_CLOS_APPLICATION_DAILY.ORG_UNIT_SK / FCT_RLOS_APPLICATION_DAILY.ORG_UNIT_SK","direct","FCT_CLOS_APPLICATION_DAILY","ORG_UNIT_SK","Mặc định -1"
"FCT_LOS_KPI_APPLICATION","PROCESSED_DATE","true","date","","Ngày xử lý của hồ sơ — mốc để FCT_LOS_KPI_YTD_DAILY xếp hồ sơ vào đúng DAYID khi SUM/COUNT lên grain ngày","FCT_CLOS_APPLICATION_DAILY.PROCESSED_DATE / FCT_RLOS_APPLICATION_DAILY.PROCESSED_DATE","direct","FCT_CLOS_APPLICATION_DAILY","PROCESSED_DATE",""
"FCT_LOS_KPI_APPLICATION","VOLUME","true","number(5,2)","","Mức độ hoàn thành hồ sơ, thang 0-1","CASE khi hồ sơ đã phê duyệt/từ chối → 1.0; khi đã CancelRevoke/CancelPermanent → theo bước xa nhất đã đạt (CreditApproval=0.8, UnderwriterChecker=0.6, UnderwriterMaker=0.5, DetailDataEntry=0.2); còn lại NULL — tính từ toàn bộ lịch sử WI_NAME trên UNION FCT_CLOS_WORKSTEP_EVENT + FCT_RLOS_WORKSTEP_EVENT","computed","FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_CODE","Tính từ UNION FCT_CLOS_WORKSTEP_EVENT/FCT_RLOS_WORKSTEP_EVENT toàn bộ lịch sử hồ sơ (không phải chỉ dòng snapshot hiện tại)"
"FCT_LOS_KPI_APPLICATION","POINT","true","number(12,4)","","Điểm KPI — cam kết SLA nhập liệu tập trung + cam kết SLA phê duyệt tín dụng","RLOS: (report-time LEFT JOIN REF_SLA_NLTT theo PRODUCT_LINE_NAME qua DIM_RLOS_PRODUCT + SYSTEM_CODE='RLOS' → SLA_DE_TOTAL_RESULT) + DIM_RLOS_APPLICATION.SLA_CREDIT_OFFICER + DIM_RLOS_APPLICATION.SLA_CREDIT_APPROVER. CLOS: (report-time LEFT JOIN REF_SLA_NLTT theo PRODUCT_LINE_NAME+PRODUCT_NAME qua DIM_CLOS_PRODUCT + CHANGE_REQUEST qua DIM_CLOS_APPLICATION + SYSTEM_CODE='CLOS' → SLA_DE_TOTAL_RESULT) + NVL(DIM_CLOS_APPLICATION.SLA_CREDIT_OFFICER,0) + NVL(DIM_CLOS_APPLICATION.SLA_CREDIT_APPROVER,0), riêng APP_GRP='C1' cộng thêm hằng số 4 giờ","join","REF_SLA_NLTT","SLA_DE_TOTAL_RESULT","review 2026-09-21: SLA_DE_TOTAL_RESULT là report-time lookup (không denormalize vào DIM), SLA_CREDIT_OFFICER/SLA_CREDIT_APPROVER vẫn đọc từ DIM_RLOS/CLOS_APPLICATION (đã tính sẵn ở đó qua RLOS_REF_SLA_TDKHCN/CLOS_REF_SLA_TDKHDN/TDKHDNL)"
"FCT_LOS_KPI_APPLICATION","QUY_DOI","true","number(12,4)","","Điểm KPI quy đổi","POINT * 8 / VOLUME, NULL nếu VOLUME NULL","computed","","","review 2026-09-17: sửa lại đúng chiều phép tính theo SRS BC9 (bản cũ ghi nhầm POINT/8*VOLUME, sai lệch 64 lần). Là đầu vào duy nhất của QUY_DOI_RLOS_DAY/QUY_DOI_CLOS_DAY ở FCT_LOS_KPI_YTD_DAILY"
"FCT_LOS_KPI_APPLICATION","TAT_APPLICATION_HOUR","true","number(18,6)","","Tổng thời gian xử lý của hồ sơ, đơn vị giờ","RLOS = SUM(get_business_minute(ENTRYDATE,EXITDATE))/60 tại DDE+QC+UWM+UWC+APPROVER; CLOS = như RLOS cộng thêm CreditCommittee — CHỈ tính sự kiện có BI_FLAG_APPROVAL='First Approval' trên FCT_CLOS/RLOS_WORKSTEP_EVENT","computed","FCT_CLOS_WORKSTEP_EVENT","BI_FLAG_APPROVAL","review 2026-09-17: bổ sung điều kiện BI_FLAG_APPROVAL='First Approval' — loại trừ thời gian vòng làm lại (rework) sau lần EXIT đầu tiên khỏi CreditApproval/CreditCommittee. Công thức khớp 100% điều kiện đã dùng tính BI_FLAG_APPROVAL cho BC5"
