stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,CLOS,REPORT_WEEK,Tuần báo cáo,,phái sinh tầng report từ REPORT_DATE,KHOP,"Tính hoàn toàn ở tầng report từ REPORT_DATE (Thứ 2→Chủ nhật, format YYMMDD-YYMMDD) — không phải cột vật lý trên DTM, không cần thiết kế thêm"
2,CLOS,REPORT_DATE,Ngày báo cáo,FCT_CLOS_WORKSTEP_EVENT,PROCESSED_DATE,KHOP,"Cập nhật (review 2026-09-21): PROCESSED_DATE nay đã bổ sung làm cột phái sinh trực tiếp trên FCT_CLOS_WORKSTEP_EVENT (cột 22, cùng công thức 3 mức ưu tiên đã chốt, không copy/JOIN từ FCT_CLOS_APPLICATION_DAILY nữa) — BC4 không cần JOIN fan-out sang APPLICATION_DAILY để lấy cột này. Xem hld/HLD_FCT_SB_DWH.md 1.2.2.6"
3,CLOS,SYSTEMNAME,Hệ thống (CLOS/RLOS),FCT_CLOS_WORKSTEP_EVENT,DATASOURCE,KHOP,"Đính chính (review 2026-09-21, người dùng chỉ ra): không phải hằng số ngoài phạm vi — cột DATASOURCE có sẵn trên bảng này (cột kỹ thuật, luôn cố định 'CLOS' sau khi tách vật lý CLOS/RLOS, xem HLD_Table_Design.md dòng ~4575), đọc trực tiếp cùng lúc với WORKSTEP/ENTRYDATE/EXITDATE (dòng 6/8/9) trên đúng 1 dòng event"
4,CLOS,WINAME,Mã hồ sơ,FCT_CLOS_WORKSTEP_EVENT,WI_NAME,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY sang FCT_CLOS_WORKSTEP_EVENT (review 2026-09-21, cùng lý do đổi grain với WORKSTEP/ENTRYDATE/EXITDATE dòng 6/8/9) — WINAME là 1 phần khóa PK của bảng event (DAYID+WI_NAME+WORKSTEP_CODE+ENTRYDATE), không phải PK đơn của APPLICATION_DAILY. Điều kiện lọc tập hồ sơ ('đã có bước UnderwriterMaker') áp dụng qua EXISTS/JOIN kiểm tra hồ sơ có ít nhất 1 dòng WORKSTEP_CODE='UnderwriterMaker', không phải cột cờ HAS_REACHED_UWM trên APPLICATION_DAILY (khác bảng, khác grain)"
5,CLOS,CUSTOMER_NAME,Tên khách hàng,DIM_CLOS_CUSTOMER,FULL_NAME,KHOP,"Cập nhật (review 2026-09-21): DIM_CLOS_CUSTOMER nay join qua CUSTOMER_SK có sẵn trực tiếp trên FCT_CLOS_WORKSTEP_EVENT (cột 24, bổ sung theo yêu cầu người dùng để khai thác qua surrogate key thay vì WI_NAME natural key — nhất quán với WORKSTEP_SK/DECISION_SK/USER_SK/APPLICATION_SK đã có sẵn). Xem hld/HLD_FCT_SB_DWH.md 1.2.2.6"
6,CLOS,WORKSTEP,Bước hồ sơ,FCT_CLOS_WORKSTEP_EVENT,WORKSTEP_CODE,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY (snapshot 1 dòng/hồ sơ/ngày, review 2026-09-21): BC4 là báo cáo liệt kê TOÀN BỘ các bước xử lý (event-grain, nhiều dòng/hồ sơ) của các hồ sơ đã có bước thẩm định — người dùng xác nhận mục tiêu BC là 'lấy lên toàn bộ bước của những hồ sơ đã có bước thẩm định', lọc điều kiện WORKSTEP IN ('UnderwriterMaker','UnderwriterChecker'). Đúng khớp SRS: NG_SB_CLOS_ENTRY_EXIT> WORKSTEP không kèm điều kiện lọc vì đây là giá trị của chính dòng event, không phải aggregate. Nguồn 1:1 từ NG_SB_CLOS_ENTRY_EXIT (xem HLD_Table_Design.md:892-932, Section 1.2.2.6), PK=DAYID+WI_NAME+WORKSTEP_CODE+ENTRYDATE"
7,CLOS,UND_MAKER,User Chuyên viên thẩm định,FCT_CLOS_WORKSTEP_EVENT,USERNAME,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY.UND_MAKER_USER (review 2026-09-21) — người dùng xác nhận: khi dòng report đang xét là WORKSTEP_CODE='UnderwriterMaker' → UND_MAKER=USERNAME của chính dòng event đó; khi dòng đang xét là 'UnderwriterChecker' → UND_MAKER=NULL (không self-join lấy từ dòng UWM khác cùng hồ sơ). Công thức: CASE WHEN WORKSTEP_CODE='UnderwriterMaker' THEN USERNAME END — đúng khớp nguyên văn SRS 'USERNAME, với điều kiện WORKSTEP=UnderwriterMaker' áp cho chính dòng event, không phải giá trị 'hoàn tất gần nhất' của cả hồ sơ như UND_MAKER_USER trên APPLICATION_DAILY"
8,CLOS,ENTRYDATE,Thời gian lên bước thẩm định,FCT_CLOS_WORKSTEP_EVENT,ENTRYDATE,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY, cùng lý do với WORKSTEP (dòng 6, review 2026-09-21). Report liệt kê từng dòng event lọc WORKSTEP IN ('UnderwriterMaker','UnderwriterChecker') — ENTRYDATE là giá trị CỦA CHÍNH dòng event đó, không phải MIN() cross-row (SRS diễn đạt 'Lấy MIN(ENTRYDATE) với điều kiện WORKSTEP IN (...)' — đây là cách viết công thức lọc dòng theo tập giá trị, MIN chỉ dùng khi cần rút gọn 1 dòng/hồ sơ; ở đây người dùng xác nhận report giữ nguyên nhiều dòng/hồ sơ nên WHERE là đủ, không cần GROUP BY MIN). Cùng bảng/PK với WORKSTEP ở trên"
9,CLOS,EXITDATE,Ngày báo cáo/Thời gian kết thúc bước thẩm định,FCT_CLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY, cùng lý do với WORKSTEP/ENTRYDATE (dòng 6/8, review 2026-09-21). EXITDATE là giá trị của chính dòng event đã lọc WORKSTEP IN ('UnderwriterMaker','UnderwriterChecker') — không phải MAX() cross-row, cùng cách đọc công thức SRS như ENTRYDATE. Cùng bảng/PK với WORKSTEP ở trên"
10,CLOS,FLAG,Trạng thái,FCT_CLOS_WORKSTEP_EVENT,WORKSTEP_FLAG,KHOP,"Cập nhật (review 2026-09-21): WORKSTEP_FLAG nay đã bổ sung làm cột phái sinh trực tiếp trên FCT_CLOS_WORKSTEP_EVENT (cột 23, cùng 5 nhánh CASE-WHEN đã chốt, LEFT JOIN WFINSTRUMENTTABLE bổ sung ngay trên bảng này, không copy/JOIN từ FCT_CLOS_APPLICATION_DAILY nữa) — BC4 không cần JOIN fan-out sang APPLICATION_DAILY để lấy cột này. Xem hld/HLD_FCT_SB_DWH.md 1.2.2.6"
