stt,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,BI_FLOW,Phân khúc khách hàng,DIM_CLOS_APPLICATION,BI_FLOW,KHOP,PHÁI SINH tại PDTD_DTM: CASE theo CUST_GROUP — MSME/SME/USME→PDTD_KHDN; NBFI/JSC/FDI/BANK/STR/SOC→PDTD_KHDNL; còn lại→NULL. Không qua bảng REF_ nào (khác cách RLOS lookup REF_RLOS_FLOW) (HLD_Table_Design.md#5928)
2,CHANGE_REQUEST,Thay đổi điều kiện (New/Change),DIM_CLOS_APPLICATION,CHANGE_REQUEST,KHOP,"Bê 1:1 từ SB_DWH, nguồn NG_SB_CLOS_CHANGEREQ.CHANGE_REQUEST"
3,CHANGE_TYPE,Chi tiết loại thay đổi điều kiện,DIM_CLOS_APPLICATION,CHANGE_TYPE,KHOP,"Bê 1:1 từ SB_DWH, nguồn NG_SB_CLOS_CHANGEREQ.CHANGE_TYPE — chuỗi tự do đa giá trị nối bằng '~', không qua DIM riêng (khác RLOS có DIM_RLOS_CHANGE_TYPE, xem HLD_DIM_SB_DWH.md:927)"
4,APPROVAL_TYPE,Luồng phê duyệt,DIM_CLOS_APPLICATION,APPROVAL_TYPE,KHOP,"Bê 1:1 từ SB_DWH, nguồn NG_SB_CLOS_APPROVAL.STREAM đọc theo nghĩa luồng phê duyệt (cột 9, khác cột STREAM ở 1.2.1.1 cột 8 — 2 cột riêng cùng nguồn STREAM nhưng ý nghĩa khác nhau)"
5,WINAME,Mã hồ sơ,FCT_CLOS_APPLICATION_DAILY,WI_NAME,KHOP,"Khóa chính (PK) của bảng, cũng là NK trên DIM_CLOS_APPLICATION"
6,PROCESSED_DATE,Ngày dữ liệu báo cáo,FCT_CLOS_APPLICATION_DAILY,PROCESSED_DATE,KHOP,"Bê 1:1 từ SB_DWH, cột 22 — tính theo 3 mức ưu tiên đúng SRS"
7,CREATION_DATE,Ngày hồ sơ khởi tạo,FCT_CLOS_APPLICATION_DAILY,CREATION_DATE,KHOP,Cột 25 = TRUNC(MIN(ENTRYDATE)) theo WI_NAME. Cũng có bản trùng trên DIM_CLOS_APPLICATION.CREATION_DATE (cột 19)
8,BI_APPSTATUS,Trạng thái cuối của hồ sơ,FCT_CLOS_APPLICATION_DAILY,BI_APPSTATUS,KHOP,Cột 35 — Approved/Rejected/Cancelled/Processing
9,INDUSTRY_GROUP,Ngành kinh doanh cấp 1,DIM_CLOS_APPLICATION,INDUSTRY_LVL1_CODE,KHOP,"Nguồn NG_SB_CLOS_CUST_INFO.INDUSTRY_CODE_LEVEL_1 (DQ-11 đã giải quyết — xác nhận trực tiếp trên DB, metadata Column Review thiếu sót, xem HLD_DIM_SB_DWH.md:930)"
10,INDUSTRY_CLASS,Ngành kinh doanh cấp 2,DIM_CLOS_APPLICATION,INDUSTRY_LVL2_CODE,KHOP,"Nguồn NG_SB_CLOS_CUST_INFO.INDUSTRY_CODE_LEVEL_2, cùng xác nhận như INDUSTRY_GROUP"
11,INDUSTRY,Ngành kinh doanh cấp 3,DIM_CLOS_APPLICATION,INDUSTRY_LVL3_CODE,KHOP,"Nguồn NG_SB_CLOS_CUST_INFO.INDUSTRY_CODE_LEVEL_3, cùng xác nhận như INDUSTRY_GROUP"
12,CAP_TIN_DUNG,Hồ sơ tư vấn tín dụng hay cấp tín dụng (TVTD/CTD),DIM_CLOS_APPLICATION,CREDIT_PROFILE,KHOP,Nguồn NG_SB_CLOS_EXTTABLE.CREDIT_PROFILE (DQ-11 đã giải quyết — xác nhận trực tiếp trên DB)
13,CUSTOMER_NAME,Tên doanh nghiệp khách hàng,DIM_CLOS_CUSTOMER,FULL_NAME,KHOP,"DIM_CLOS_CUSTOMER (2.2.1.7, tách từ FCT_LOS_APPLICATION_PARTY cũ) — join qua CUSTOMER_SK trên FCT_CLOS_APPLICATION_DAILY. Nguồn NG_SB_CLOS_CUST_INFO.CUSTOMER_NAME"
14,ID_NUMBER,Số ĐKKD / MST doanh nghiệp,DIM_CLOS_CUSTOMER,ORG_LEGAL_ID,KHOP,Cột 8 (bổ sung tại PDTD_DTM) — PHÁI SINH: LEFT JOIN DIM_CLOS_LEGAL_PARTY theo WI_NAME + LEGAL_TYPE='CUSTOMER' (tương đương SRS: NG_SB_CLOS_CUST_INFO_LEGAL.ID_NUMBER lọc OBJ_TYPE='Khách hàng'). Xác nhận nghiệp vụ: luôn đúng 1 dòng/hồ sơ nên join an toàn không fan-out
15,CUSTOMER_ID,ID khách hàng (Mã CIF),DIM_T24_CUSTOMER,CUSTOMER_ID,KHOP,"Join qua FCT_CLOS_APPLICATION_DAILY.T24_CUSTOMER_SK → DIM_T24_CUSTOMER (2.1.3). Khóa join thật: LEGAL_ID/LEGAL_DOC_NAME khớp DIM_CLOS_CUSTOMER.ORG_LEGAL_ID (đã tra sẵn LEGAL_TYPE='CUSTOMER', xem HLD_Table_Design.md:5586), không phải lookup trực tiếp REF_CLOS_LEGAL như SRS cũ mô tả — REF_CLOS_LEGAL chỉ dùng để chuẩn hóa OBJ_TYPE→LEGAL_TYPE tại DIM_CLOS_LEGAL_PARTY (2.2.1.8), không tự nó tra CIF"
16,CUST_GROUP,Nhóm phân loại khách hàng,DIM_CLOS_APPLICATION,CUST_GROUP,KHOP,Cột 13 — nguồn NG_SB_CLOS_CUST_INFO.CUST_GROUP. Cũng là input tính BI_FLOW (cột 1) và khóa either/or tra SLA (2.2.1.1)
17,LEGAL_REPRESENTATIVE,Người đại diện pháp luật,DIM_CLOS_CUSTOMER,LEGAL_REPRESENTATIVE,KHOP,"Cột 9 (bổ sung tại PDTD_DTM) — LEFT JOIN DIM_CLOS_LEGAL_PARTY theo LEGAL_TYPE='LEGAL_REPRESENTATIVE', nối chuỗi FULL_NAME bằng ';' nếu nhiều đại diện (đã BA xác nhận cách nối chuỗi)"
18,ADD_ID_REPRESENTATIVE,Số GTTT của người đại diện theo pháp luật,DIM_CLOS_CUSTOMER,ADD_ID_REPRESENTATIVE,KHOP,"Cột 10 — cùng LEFT JOIN trên, nối chuỗi ID_NUMBER bằng ';' nếu nhiều đại diện"
19,EMPLOYEE_CODE,Mã CRO,DIM_CLOS_APPLICATION,EMPLOYEE_CODE,KHOP,"Cột 17 — nguồn NG_SB_CLOS_CUST_INFO.EMP_CODE, quan hệ 1:1 với hồ sơ"
20,EMPLOYEE_NAME,Tên CRO,DIM_CLOS_APPLICATION,EMPLOYEE_NAME,KHOP,Cột 18 — nguồn NG_SB_CLOS_CUST_INFO.EMP_NAME
